gene name,description,gene id,protein id,GO general category
TSR3,"TSR3, 20S rRNA accumulation, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:14175]",ENSG00000007520,ENSP00000007390,GO:0006364
XRN2,5'-3' exoribonuclease 2 [Source:HGNC Symbol;Acc:12836],ENSG00000088930,ENSP00000413548,"GO:0008270,GO:0003676,GO:0004527,GO:0004518,GO:0004534,GO:0008409,GO:0005634,GO:0005622,GO:0005730,GO:0016235,GO:0007283,GO:0006355,GO:0016070,GO:0006397,GO:0006396,GO:0016049,GO:0006139,GO:0006401,GO:0006353,GO:0000738,GO:0005515"
RSRC1,arginine/serine-rich coiled-coil 1 [Source:HGNC Symbol;Acc:24152],ENSG00000174891,ENSP00000295930,"GO:0005737,GO:0016607,GO:0046677,GO:0006468,GO:0006913,GO:0000380,GO:0005515,GO:0005634,GO:0008380,GO:0000398"
TDRD5,tudor domain containing 5 [Source:HGNC Symbol;Acc:20614],ENSG00000162782,ENSP00000406052,"GO:0033391,GO:0071546,GO:0043046,GO:0007286,GO:0030719"
POLR2J,"polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa [Source:HGNC Symbol;Acc:9197]",ENSG00000005075,ENSP00000292614,"GO:0003677,GO:0046983,GO:0003899,GO:0006351,GO:0005515,GO:0001055,GO:0030275,GO:0005634,GO:0005665,GO:0005654,GO:0006366,GO:0006289,GO:0006281,GO:0016032,GO:0010467,GO:0008380,GO:0000398,GO:0006367,GO:0006368,GO:0006370,GO:0006283,GO:0050434"
POLR2J2,DNA-directed RNA polymerase II subunit RPB11-b1 [Source:RefSeq peptide;Acc:NP_116581],ENSG00000228049,ENSP00000466522,"GO:0003677,GO:0046983,GO:0003899,GO:0006351,GO:0001055,GO:0005665,GO:0006366"
POLR2J3,polymerase (RNA) II (DNA directed) polypeptide J3 [Source:HGNC Symbol;Acc:33853],ENSG00000168255,ENSP00000368662,"GO:0016021,GO:0046983,GO:0006351,GO:0003677,GO:0003899,GO:0005634"
SAFB2,scaffold attachment factor B2 [Source:HGNC Symbol;Acc:21605],ENSG00000130254,ENSP00000252542,"GO:0003676,GO:0000166,GO:0003723,GO:0005515,GO:0003677,GO:0042802,GO:0005634,GO:0005737,GO:0006351,GO:0006355"
SAFB,scaffold attachment factor B [Source:HGNC Symbol;Acc:10520],ENSG00000160633,ENSP00000292123,"GO:0000166,GO:0001047,GO:0003676,GO:0003682,GO:0005634,GO:0045944,GO:0040007,GO:0042445,GO:0030520,GO:0005515,GO:0003723,GO:0003690,GO:0006351,GO:0006325"
SLTM,"SAFB-like, transcription modulator [Source:HGNC Symbol;Acc:20709]",ENSG00000137776,ENSP00000369887,"GO:0003676,GO:0005634,GO:0000166,GO:0003723,GO:0006351,GO:0006915,GO:0006355"
BRIX1,"BRX1, biogenesis of ribosomes, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:24170]",ENSG00000113460,ENSP00000338862,"GO:0005634,GO:0005730,GO:0042254"
POLR2I,"polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa [Source:HGNC Symbol;Acc:9196]",ENSG00000105258,ENSP00000221859,"GO:0003677,GO:0003899,GO:0006351,GO:0008270,GO:0003676,GO:0005634,GO:0005654,GO:0005665,GO:0006366,GO:0006289,GO:0006281,GO:0016032,GO:0010467,GO:0008380,GO:0000398,GO:0006367,GO:0006368,GO:0006370,GO:0006283,GO:0050434"
PWP2,PWP2 periodic tryptophan protein homolog (yeast) [Source:HGNC Symbol;Acc:9711],ENSG00000241945,ENSP00000291576,"GO:0005515,GO:0004871,GO:0005737,GO:0005730,GO:0007165"
ELAC2,elaC homolog 2 (E. coli) [Source:HGNC Symbol;Acc:14198],ENSG00000006744,ENSP00000337445,"GO:0016787,GO:0005739,GO:0046872,GO:0004519,GO:0005634,GO:0072684"
ZCCHC14,"zinc finger, CCHC domain containing 14 [Source:HGNC Symbol;Acc:24134]",ENSG00000140948,ENSP00000268616,"GO:0008270,GO:0003676,GO:0035091,GO:0007154"
ZCCHC2,"zinc finger, CCHC domain containing 2 [Source:HGNC Symbol;Acc:22916]",ENSG00000141664,ENSP00000464791,"GO:0008270,GO:0003676,GO:0035091,GO:0007154,GO:0005737"
LARS,leucyl-tRNA synthetase [Source:HGNC Symbol;Acc:6512],ENSG00000133706,ENSP00000426005,"GO:0000166,GO:0005524,GO:0002161,GO:0004812,GO:0004823,GO:0005737,GO:0006418,GO:0006429,GO:0005515,GO:0005829,GO:0010467"
MRPL28,mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:14484],ENSG00000086504,ENSP00000395305,"GO:0003735,GO:0005739,GO:0005515,GO:0005737,GO:0005761,GO:0006412"
CNOT1,"CCR4-NOT transcription complex, subunit 1 [Source:HGNC Symbol;Acc:7877]",ENSG00000125107,ENSP00000455635,"GO:0005488,GO:0005515,GO:0042974,GO:0030331,GO:0004535,GO:0005634,GO:0005829,GO:0000932,GO:0005778,GO:0030014,GO:0000122,GO:0006351,GO:0007275,GO:0048387,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0000289,GO:0006417,GO:0010606,GO:0031047,GO:0033147,GO:0060213,GO:1900153,GO:2000036"
DDX18,DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 [Source:HGNC Symbol;Acc:2741],ENSG00000088205,ENSP00000263239,"GO:0005524,GO:0003676,GO:0008026,GO:0004386,GO:0003723,GO:0005515,GO:0004004,GO:0005730"
TSEN15,tRNA splicing endonuclease 15 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:16791],ENSG00000198860,ENSP00000402002,"GO:0000213,GO:0005730,GO:0006397,GO:0006388"
USP10,ubiquitin specific peptidase 10 [Source:HGNC Symbol;Acc:12608],ENSG00000103194,ENSP00000219473,"GO:0006511,GO:0004221,GO:0005515,GO:0004197,GO:0002039,GO:0044325,GO:0004843,GO:0005634,GO:0005737,GO:0005769,GO:0045111,GO:0006914,GO:0006281,GO:0010506,GO:0030330,GO:0016579"
SMNDC1,survival motor neuron domain containing 1 [Source:HGNC Symbol;Acc:16900],ENSG00000119953,ENSP00000358605,"GO:0003723,GO:0005515,GO:0005634,GO:0005737,GO:0005681,GO:0016607,GO:0015030,GO:0006915,GO:0006397,GO:0008380,GO:0000375"
THUMPD2,THUMP domain containing 2 [Source:HGNC Symbol;Acc:14890],ENSG00000138050,ENSP00000423933,"GO:0003723,GO:0008168,GO:0008152"
THUMPD3,THUMP domain containing 3 [Source:HGNC Symbol;Acc:24493],ENSG00000134077,ENSP00000339532,"GO:0003723,GO:0008168"
SND1,staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:30646],ENSG00000197157,ENSP00000346762,"GO:0003676,GO:0016788,GO:0005515,GO:0004518,GO:0003712,GO:0005634,GO:0005737,GO:0005739,GO:0042470,GO:0016442,GO:0006351,GO:0006355,GO:0031047,GO:0019048"
LSM4,"LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:HGNC Symbol;Acc:17259]",ENSG00000130520,ENSP00000469468,"GO:0003723,GO:0005515,GO:0005829,GO:0005681,GO:0030532,GO:0005688,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0006397,GO:0008380,GO:0043928"
EIF3M,"eukaryotic translation initiation factor 3, subunit M [Source:HGNC Symbol;Acc:24460]",ENSG00000149100,ENSP00000436049,"GO:0005515,GO:0005488,GO:0003743,GO:0005852,GO:0016282,GO:0033290,GO:0001731,GO:0006446,GO:0006413"
MRPL34,mitochondrial ribosomal protein L34 [Source:HGNC Symbol;Acc:14488],ENSG00000130312,ENSP00000472266,"GO:0003735,GO:0005739,GO:0005622,GO:0005840,GO:0005761,GO:0006412"
SRP72,signal recognition particle 72kDa [Source:HGNC Symbol;Acc:11303],ENSG00000174780,ENSP00000342181,"GO:0005515,GO:0006614,GO:0008312,GO:0005047,GO:0005886,GO:0005737,GO:0005829,GO:0005783,GO:0005730,GO:0048500,GO:0005786,GO:0006412,GO:0042493,GO:0010467,GO:0044267"
SUGP1,SURP and G patch domain containing 1 [Source:HGNC Symbol;Acc:18643],ENSG00000105705,ENSP00000247001,"GO:0003723,GO:0005515,GO:0005634,GO:0005654,GO:0005681,GO:0010467,GO:0008380,GO:0000398,GO:0006396,GO:0003676"
SUGP2,SURP and G patch domain containing 2 [Source:HGNC Symbol;Acc:18641],ENSG00000064607,ENSP00000409603,"GO:0003723,GO:0003676,GO:0006396,GO:0005634,GO:0006397,GO:0008380"
RPS3,ribosomal protein S3 [Source:HGNC Symbol;Acc:10420],ENSG00000149273,ENSP00000433421,"GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0005515,GO:0004519,GO:0019899,GO:0019901,GO:0003729,GO:0003684,GO:0051536,GO:0051018,GO:0051059,GO:0003906,GO:0005634,GO:0005737,GO:0005829,GO:0022627,GO:0030529,GO:0032587,GO:0015935,GO:0006974,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0032088,GO:0044267,GO:0006614,GO:0006919,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083,GO:0045738,GO:1900119,GO:1902546"
RPS27A,ribosomal protein S27a [Source:HGNC Symbol;Acc:10417],ENSG00000143947,ENSP00000272317,"GO:0005515,GO:0046872,GO:0003735,GO:0005886,GO:0005829,GO:0005622,GO:0022627,GO:0005840,GO:0010008,GO:0005654,GO:0015935,GO:0030666,GO:0000122,GO:0006351,GO:0045944,GO:0038095,GO:0045087,GO:0055085,GO:0006915,GO:0042981,GO:0043066,GO:0034220,GO:0043123,GO:0000209,GO:0006412,GO:0002474,GO:0000278,GO:0006281,GO:0016032,GO:0016197,GO:0019068,GO:0019082,GO:0002479,GO:0006977,GO:0010467,GO:0016070,GO:0016071,GO:0031145,GO:0042590,GO:0051437,GO:0051439,GO:0008585,GO:0000187,GO:0043065,GO:0032480,GO:0006367,GO:0007219,GO:0007254,GO:0019221,GO:0007179,GO:0030512,GO:0007141,GO:0071456,GO:0002224,GO:0072520,GO:0008543,GO:0051092,GO:0050852,GO:0044267,GO:0007173,GO:0032481,GO:0007249,GO:0000082,GO:0097190,GO:0002755,GO:0002756,GO:0034138,GO:0006614,GO:0034166,GO:0007220,GO:0051403,GO:0007144,GO:0010992,GO:0021888,GO:0060613,GO:0097009,GO:0042059,GO:0006414,GO:0034142,GO:0034162,GO:0048011,GO:0019058,GO:0034134,GO:0035666,GO:0038123,GO:0038124,GO:0051436,GO:0006413,GO:0034146,GO:0035872,GO:0061418,GO:0070423,GO:0000184,GO:0006415,GO:0019083,GO:0032479"
CCAR2,KIAA1967 [Source:HGNC Symbol;Acc:23360],ENSG00000158941,ENSP00000373930,"GO:0006915,GO:0004857,GO:0005515,GO:0019899,GO:0000993,GO:0005634,GO:0005737,GO:0005759,GO:0005681,GO:0000790,GO:0044609,GO:0006974,GO:0007049,GO:0006397,GO:0008380,GO:0043065,GO:0009411,GO:0043086,GO:0043653,GO:0032784,GO:1902230,GO:2000003"
CCAR1,cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol;Acc:24236],ENSG00000060339,ENSP00000439252,"GO:0005515,GO:0003676,GO:0030374,GO:0048471,GO:0005654,GO:0006351,GO:0006915,GO:0006355,GO:0010467,GO:0007049,GO:0008380,GO:0000398"
DDX49,DEAD (Asp-Glu-Ala-Asp) box polypeptide 49 [Source:HGNC Symbol;Acc:18684],ENSG00000105671,ENSP00000395377,"GO:0005524,GO:0003676,GO:0008026,GO:0004386,GO:0003723"
MRPL4,mitochondrial ribosomal protein L4 [Source:HGNC Symbol;Acc:14276],ENSG00000105364,ENSP00000377334,"GO:0003735,GO:0005739,GO:0005840,GO:0006412"
SFSWAP,"splicing factor, suppressor of white-apricot homolog (Drosophila) [Source:HGNC Symbol;Acc:10790]",ENSG00000061936,ENSP00000437738,"GO:0003723,GO:0006396,GO:0005634,GO:0006351,GO:0006355,GO:0006397,GO:0006376,GO:0048025"
MRPS12,mitochondrial ribosomal protein S12 [Source:HGNC Symbol;Acc:10380],ENSG00000128626,ENSP00000384952,"GO:0005515,GO:0003735,GO:0005622,GO:0005840,GO:0015935,GO:0005761,GO:0006412,GO:0005739"
EIF1,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:3249],ENSG00000173812,ENSP00000467918,"GO:0003743,GO:0006413,GO:0008135,GO:0005737,GO:0006950,GO:0006446,GO:0009048"
EIF1B,eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:30792],ENSG00000114784,ENSP00000232905,"GO:0003743,GO:0006446,GO:0006413"
CLP1,cleavage and polyadenylation factor I subunit 1 [Source:HGNC Symbol;Acc:16999],ENSG00000172409,ENSP00000434995,"GO:0005524,GO:0051733,GO:0051736,GO:0046404,GO:0005654,GO:0000214,GO:0005849,GO:0006366,GO:0010467,GO:0008380,GO:0000398,GO:0006388,GO:0031124,GO:0035087,GO:0006369,GO:0030423"
ZMAT5,"zinc finger, matrin-type 5 [Source:HGNC Symbol;Acc:28046]",ENSG00000100319,ENSP00000344241,"GO:0008270,GO:0046872,GO:0005634,GO:0005737,GO:0005689,GO:0006397,GO:0008380"
SF3B3,"splicing factor 3b, subunit 3, 130kDa [Source:HGNC Symbol;Acc:10770]",ENSG00000189091,ENSP00000305790,"GO:0005515,GO:0003676,GO:0005634,GO:0005654,GO:0005681,GO:0030532,GO:0005689,GO:0071013,GO:0010467,GO:0006397,GO:0008380,GO:0000398,GO:0006461,GO:0000375"
PLD6,"phospholipase D family, member 6 [Source:HGNC Symbol;Acc:30447]",ENSG00000179598,ENSP00000317177,"GO:0042803,GO:0046872,GO:0004519,GO:0003824,GO:0035755,GO:0005741,GO:0016021,GO:0043046,GO:0007286,GO:0007126,GO:0034587,GO:0030719,GO:0044281,GO:0016042,GO:0008152,GO:0008053,GO:0006644,GO:0046474,GO:0006655"
QTRTD1,queuine tRNA-ribosyltransferase domain containing 1 [Source:HGNC Symbol;Acc:25771],ENSG00000151576,ENSP00000281273,"GO:0008479,GO:0008616,GO:0006400,GO:0008270,GO:0005737,GO:0005739"
QTRT1,queuine tRNA-ribosyltransferase 1 [Source:HGNC Symbol;Acc:23797],ENSG00000213339,ENSP00000465974,"GO:0008479,GO:0008616,GO:0006400,GO:0005515,GO:0046872,GO:0005737,GO:0005634,GO:0005739,GO:0005840,GO:0008033"
PIH1D1,PIH1 domain containing 1 [Source:HGNC Symbol;Acc:26075],ENSG00000104872,ENSP00000469087,"GO:0070761,GO:0000492"
SWT1,SWT1 RNA endoribonuclease homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:16785],ENSG00000116668,ENSP00000356471,.
EXOSC4,exosome component 4 [Source:HGNC Symbol;Acc:18189],ENSG00000178896,ENSP00000315476,"GO:0005515,GO:0017091,GO:0000175,GO:0005634,GO:0005737,GO:0005829,GO:0005730,GO:0000178,GO:0035327,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0006364,GO:0030307,GO:0051607,GO:0043928,GO:0071044,GO:0071028,GO:0000460,GO:0000956,GO:0045006"
EXOSC6,exosome component 6 [Source:HGNC Symbol;Acc:19055],ENSG00000223496,ENSP00000398597,"GO:0003723,GO:0005829,GO:0005730,GO:0000178,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0006364,GO:0045190,GO:0043928,GO:0045006"
PTRH1,peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:27039],ENSG00000187024,ENSP00000439469,"GO:0004045,GO:0005739"
INTS8,integrator complex subunit 8 [Source:HGNC Symbol;Acc:26048],ENSG00000164941,ENSP00000430338,"GO:0005515,GO:0032039,GO:0016180"
EXOSC10,exosome component 10 [Source:HGNC Symbol;Acc:9138],ENSG00000171824,ENSP00000307307,"GO:0000166,GO:0003676,GO:0003824,GO:0008408,GO:0005634,GO:0005737,GO:0005622,GO:0005730,GO:0000176,GO:0006396,GO:0044237,GO:0006139,GO:0009048,GO:0003723,GO:0005515,GO:0004532,GO:0000178,GO:0035327,GO:0071044,GO:0000184,GO:0071028,GO:0000460,GO:0000956,GO:0071034,GO:0071035,GO:0071048"
CASC3,cancer susceptibility candidate 3 [Source:HGNC Symbol;Acc:17040],ENSG00000108349,ENSP00000264645,"GO:0005515,GO:0003723,GO:0031625,GO:0019899,GO:0042802,GO:0005737,GO:0005634,GO:0005829,GO:0048471,GO:0030529,GO:0016607,GO:0035145,GO:0010467,GO:0016070,GO:0016071,GO:0006417,GO:0006397,GO:0008380,GO:0006950,GO:0051028,GO:0000184,GO:0008298"
GTF3A,general transcription factor IIIA [Source:HGNC Symbol;Acc:4662],ENSG00000122034,ENSP00000370532,"GO:0003676,GO:0046872,GO:0003723,GO:0003677,GO:0005634,GO:0005654,GO:0006355,GO:0010467,GO:0006383,GO:0009303"
MRPL54,mitochondrial ribosomal protein L54 [Source:HGNC Symbol;Acc:16685],ENSG00000183617,ENSP00000331849,"GO:0005739,GO:0005840"
GTPBP3,GTP binding protein 3 (mitochondrial) [Source:HGNC Symbol;Acc:14880],ENSG00000130299,ENSP00000313818,"GO:0005525,GO:0003924,GO:0005634,GO:0005739,GO:0006400"
UBA1,ubiquitin-like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:12469],ENSG00000130985,ENSP00000366568,"GO:0005524,GO:0008641,GO:0006464,GO:0003824,GO:0005515,GO:0016874,GO:0016567,GO:0008219"
LSM12,LSM12 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:26407],ENSG00000161654,ENSP00000293406,.
HINT3,histidine triad nucleotide binding protein 3 [Source:HGNC Symbol;Acc:18468],ENSG00000111911,ENSP00000229633,"GO:0000166,GO:0003824,GO:0016787,GO:0005737,GO:0005739,GO:0005730"
CCDC59,coiled-coil domain containing 59 [Source:HGNC Symbol;Acc:25005],ENSG00000133773,ENSP00000256151,"GO:0005515,GO:0005634,GO:0006351,GO:0006355"
POLDIP3,"polymerase (DNA-directed), delta interacting protein 3 [Source:HGNC Symbol;Acc:23782]",ENSG00000100227,ENSP00000252116,"GO:0000166,GO:0003676,GO:0005634,GO:0043231,GO:0003723,GO:0005515,GO:0005737,GO:0016607,GO:0035145,GO:0000346,GO:0045727,GO:0016973"
RPL32,ribosomal protein L32 [Source:HGNC Symbol;Acc:10336],ENSG00000144713,ENSP00000339064,"GO:0003735,GO:0005829,GO:0005622,GO:0005840,GO:0022625,GO:0006412,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083"
AZGP1,"alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:910]",ENSG00000160862,ENSP00000292401,"GO:0042605,GO:0042612,GO:0006955,GO:0019882,GO:0001916,GO:0002474,GO:0005515,GO:0003823,GO:0004540,GO:0008320,GO:0005886,GO:0005576,GO:0005615,GO:0008285,GO:0007155"
EMG1,Ribosomal RNA small subunit methyltransferase NEP1  [Source:UniProtKB/Swiss-Prot;Acc:Q92979],ENSG00000268439,ENSP00000470560,"GO:0003723,GO:0008168,GO:0019843,GO:0070037,GO:0005634,GO:0005737,GO:0005730,GO:0006364,GO:0042274"
C17orf85,chromosome 17 open reading frame 85 [Source:HGNC Symbol;Acc:24612],ENSG00000074356,ENSP00000373657,GO:0000166
N4BP1,NEDD4 binding protein 1 [Source:HGNC Symbol;Acc:29850],ENSG00000102921,ENSP00000262384,"GO:0005730,GO:0016605,GO:0034644,GO:0031397,GO:0032435,GO:0005515,GO:0005634"
NYNRIN,NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:20165],ENSG00000205978,ENSP00000371994,"GO:0003676,GO:0016021,GO:0015074"
KHNYN,KH and NYN domain containing [Source:HGNC Symbol;Acc:20166],ENSG00000100441,ENSP00000450799,.
NOP2,NOP2 nucleolar protein [Source:HGNC Symbol;Acc:7867],ENSG00000111641,ENSP00000371858,"GO:0008168,GO:0005634,GO:0005730,GO:0003723,GO:0005515,GO:0008757,GO:0008284,GO:0006364,GO:0032259"
NSUN4,"NOP2/Sun domain family, member 4 [Source:HGNC Symbol;Acc:31802]",ENSG00000117481,ENSP00000437758,"GO:0003723,GO:0005515,GO:0008168,GO:0005762,GO:0006364,GO:0005739"
NSUN3,"NOP2/Sun domain family, member 3 [Source:HGNC Symbol;Acc:26208]",ENSG00000178694,ENSP00000318986,"GO:0003723,GO:0008168"
NSUN6,"NOP2/Sun domain family, member 6 [Source:HGNC Symbol;Acc:23529]",ENSG00000241058,ENSP00000366519,"GO:0003723,GO:0008168,GO:0032259"
PAN2,PAN2 poly(A) specific ribonuclease subunit homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:20074],ENSG00000135473,ENSP00000257931,"GO:0005515,GO:0003676,GO:0004527,GO:0004535,GO:0004221,GO:0000175,GO:0005634,GO:0005829,GO:0000932,GO:0031251,GO:0006511,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0000289,GO:0000184"
ZCCHC9,"zinc finger, CCHC domain containing 9 [Source:HGNC Symbol;Acc:25424]",ENSG00000131732,ENSP00000369546,"GO:0008270,GO:0003676,GO:0010923"
RRP9,"ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast) [Source:HGNC Symbol;Acc:16829]",ENSG00000114767,ENSP00000232888,"GO:0003723,GO:0005515,GO:0005634,GO:0030532,GO:0005732,GO:0006364"
TNRC6A,trinucleotide repeat containing 6A [Source:HGNC Symbol;Acc:11969],ENSG00000090905,ENSP00000326900,"GO:0000166,GO:0003676,GO:0031047,GO:0009267,GO:0005515,GO:0003723,GO:0005829,GO:0000932,GO:0035068,GO:0038095,GO:0045087,GO:0048015,GO:0010467,GO:0007219,GO:0008543,GO:0007173,GO:0048011,GO:0035278"
TNRC6B,trinucleotide repeat containing 6B [Source:HGNC Symbol;Acc:29190],ENSG00000100354,ENSP00000384795,"GO:0000166,GO:0003723,GO:0005515,GO:0005829,GO:0000932,GO:0038095,GO:0045087,GO:0048015,GO:0010467,GO:0006417,GO:0031047,GO:0060213,GO:1900153,GO:0007219,GO:0008543,GO:0007173,GO:0048011"
TNRC6C,trinucleotide repeat containing 6C [Source:HGNC Symbol;Acc:29318],ENSG00000078687,ENSP00000440310,"GO:0000166,GO:0005515,GO:0003676,GO:0001706,GO:0035162,GO:0060964,GO:0003723,GO:0005829,GO:0038095,GO:0045087,GO:0048015,GO:0010467,GO:0060213,GO:1900153,GO:0007219,GO:0008543,GO:0007173,GO:0048011,GO:0035278,GO:0007492,GO:0048568"
RP9,retinitis pigmentosa 9 (autosomal dominant) [Source:HGNC Symbol;Acc:10288],ENSG00000164610,ENSP00000297157,"GO:0008270,GO:0003676,GO:0005515,GO:0005634,GO:0005785,GO:0008380"
MRPL15,mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:14054],ENSG00000137547,ENSP00000428581,"GO:0003735,GO:0005739,GO:0015934,GO:0006412"
NGDN,"neuroguidin, EIF4E binding protein [Source:HGNC Symbol;Acc:20271]",ENSG00000129460,ENSP00000380340,"GO:0005634,GO:0005737,GO:0030424,GO:0030425,GO:0030175,GO:0006417"
LSM10,"LSM10, U7 small nuclear RNA associated [Source:HGNC Symbol;Acc:17562]",ENSG00000181817,ENSP00000319341,"GO:0071208,GO:0005515,GO:0005654,GO:0015030,GO:0005683,GO:0006366,GO:0010467,GO:0008380,GO:0031124,GO:0000084,GO:0006369,GO:0008334"
PUS1,pseudouridylate synthase 1 [Source:HGNC Symbol;Acc:15508],ENSG00000177192,ENSP00000400032,"GO:0003723,GO:0003677,GO:0009982,GO:0030374,GO:0004730,GO:0005634,GO:0005667,GO:0005739,GO:0005730,GO:0045944,GO:0008033,GO:0001522,GO:0031119,GO:0009451,GO:0005515"
MAK16,MAK16 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:13703],ENSG00000198042,ENSP00000353246,GO:0005730
RPS13,ribosomal protein S13 [Source:HGNC Symbol;Acc:10386],ENSG00000110700,ENSP00000435777,"GO:0003735,GO:0005840,GO:0006412,GO:0005515,GO:0003729,GO:0005634,GO:0005829,GO:0005622,GO:0005730,GO:0022627,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0033119,GO:0006415,GO:0019083"
SNRNP200,small nuclear ribonucleoprotein 200kDa (U5) [Source:HGNC Symbol;Acc:30859],ENSG00000144028,ENSP00000317123,"GO:0005524,GO:0003676,GO:0003677,GO:0008026,GO:0016787,GO:0005634,GO:0004386,GO:0030529,GO:0019013,GO:0005515,GO:0042802,GO:0004004,GO:0005654,GO:0005681,GO:0071013,GO:0005682,GO:0010467,GO:0008380,GO:0000398,GO:0000354"
PRDX1,peroxiredoxin 1 [Source:HGNC Symbol;Acc:9352],ENSG00000117450,ENSP00000262746,"GO:0005515,GO:0042802,GO:0042803,GO:0016491,GO:0004601,GO:0020037,GO:0016209,GO:0051920,GO:0008379,GO:0005739,GO:0005737,GO:0005634,GO:0005829,GO:0005759,GO:0005730,GO:0042470,GO:0005782,GO:0005719,GO:0000302,GO:0006979,GO:0008283,GO:0042744,GO:0055114,GO:0001501,GO:0019430,GO:0042267,GO:0034101,GO:0032872,GO:0042345"
TSN,translin [Source:HGNC Symbol;Acc:12379],ENSG00000211460,ENSP00000399735,"GO:0005515,GO:0003677,GO:0004519,GO:0043565,GO:0003729,GO:0005634,GO:0005737,GO:0006310,GO:0003723,GO:0032403"
NUFIP2,nuclear fragile X mental retardation protein interacting protein 2 [Source:HGNC Symbol;Acc:17634],ENSG00000108256,ENSP00000225388,"GO:0003723,GO:0005515,GO:0005634,GO:0005737,GO:0042788"
RBM19,RNA binding motif protein 19 [Source:HGNC Symbol;Acc:29098],ENSG00000122965,ENSP00000442053,"GO:0000166,GO:0003676,GO:0003723,GO:0005634,GO:0005737,GO:0005694,GO:0005730,GO:0005654,GO:0007275,GO:0040019"
TDRKH,tudor and KH domain containing [Source:HGNC Symbol;Acc:11713],ENSG00000182134,ENSP00000357812,"GO:0005739,GO:0003723,GO:0071546,GO:0071547,GO:0030154,GO:0007283,GO:0007140,GO:0009566,GO:0031047,GO:0034587,GO:0043046,GO:0005515,GO:0005737"
NOP58,NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:29926],ENSG00000055044,ENSP00000264279,"GO:0005515,GO:0030515,GO:0005732,GO:0005634,GO:0005737,GO:0005730,GO:0015030,GO:0031428,GO:0070761,GO:0006608,GO:0006364,GO:0016049"
RBM6,RNA binding motif protein 6 [Source:HGNC Symbol;Acc:9903],ENSG00000004534,ENSP00000266022,"GO:0000166,GO:0003676,GO:0005634,GO:0003723,GO:0003677,GO:0006396"
RBM10,RNA binding motif protein 10 [Source:HGNC Symbol;Acc:9896],ENSG00000182872,ENSP00000328848,"GO:0000166,GO:0003723,GO:0005515,GO:0008270,GO:0003676,GO:0046872,GO:0042802,GO:0032403,GO:0005634,GO:0000122,GO:0008285,GO:0006397,GO:0008380,GO:0034393,GO:0070935,GO:0034391"
RBM5,RNA binding motif protein 5 [Source:HGNC Symbol;Acc:9902],ENSG00000003756,ENSP00000343054,"GO:0005634,GO:0000166,GO:0003723,GO:0005515,GO:0008270,GO:0003677,GO:0003729,GO:0005654,GO:0005681,GO:0006915,GO:0008285,GO:0010467,GO:0008380,GO:0000381,GO:0000398,GO:0043065,GO:0006396,GO:0000245,GO:0003676,GO:0046872"
RBM44,RNA binding motif protein 44 [Source:HGNC Symbol;Acc:24756],ENSG00000177483,ENSP00000321179,"GO:0005515,GO:0042803,GO:0000166,GO:0003723,GO:0003676,GO:0005737,GO:0045171"
